County,Count,Year,Suppression Information,Type of Overdose Death,County Code Number,County Code Text,State FIPS Code,County FIPS,Latitude,Longitude,Georeferenced Latitude & Longitude
Lehigh,140,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,39,39,42,77,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Northampton,34,2013,,Any Drug Overdose Deaths,48,48,42,95,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
Beaver,37,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Philadelphia,867,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Centre,12,2015,,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Bedford,11,2016,,Any Drug Overdose Deaths,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Lawrence,40,2016,,Any Drug Overdose Deaths,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Warren,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Berks,37,2012,,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Mckean,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Mifflin,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,44,44,42,87,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Luzerne,145,2017,,Any Drug Overdose Deaths,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Jefferson,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,33,33,42,65,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Mifflin,13,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,44,44,42,87,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Lancaster,103,2019,,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Armstrong,34,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Wyoming,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Wyoming,,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
York,108,2014,,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Schuylkill,67,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Cambria,28,2012,,Any Drug Overdose Deaths,11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Montgomery,210,2017,,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Monroe,54,2017,,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Sullivan,0,2012,,Any Drug Overdose Deaths,57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Susquehanna,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Blair,52,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Blair,21,2014,,Any Drug Overdose Deaths,7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Erie,69,2019,,Any Drug Overdose Deaths,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Lancaster,66,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Westmoreland,120,2018,,Any Drug Overdose Deaths,65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Columbia,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,19,19,42,37,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Pennsylvania,3018,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Adams,19,2017,,Any Drug Overdose Deaths,1,1,42,1,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Washington,77,2019,,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Clinton,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Tioga,19,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Lehigh,68,2014,,Any Drug Overdose Deaths,39,39,42,77,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Westmoreland,190,2017,,Any Drug Overdose Deaths,65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Perry,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Mercer,15,2012,,Any Drug Overdose Deaths,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Greene,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Butler,45,2018,,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Erie,47,2012,,Any Drug Overdose Deaths,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Clearfield,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Greene,18,2016,,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Northumberland,26,2016,,Any Drug Overdose Deaths,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Dauphin,111,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Fulton,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Lebanon,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Fayette,13,2012,,Any Drug Overdose Deaths,26,26,42,51,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Luzerne,194,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Schuylkill,22,2015,,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Perry,13,2017,,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Potter,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Monroe,36,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Chester,51,2012,,Any Drug Overdose Deaths,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Forest,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Northumberland,16,2014,,Any Drug Overdose Deaths,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Luzerne,99,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Jefferson,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,33,33,42,65,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Fulton,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Mercer,21,2013,,Any Drug Overdose Deaths,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Mifflin,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,44,44,42,87,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Bradford,16,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,8,8,42,15,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Delaware,95,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Susquehanna,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Bedford,15,2017,,Any Drug Overdose Deaths,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Clinton,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Venango,10,2014,,Any Drug Overdose Deaths,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
York,147,2019,,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Potter,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Dauphin,58,2014,,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Clarion,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,16,16,42,31,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Lackawanna,67,2015,,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Forest,,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Schuylkill,25,2014,,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Cumberland,22,2012,,Any Drug Overdose Deaths,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Centre,20,2018,,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Montour,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Fayette,28,2013,,Any Drug Overdose Deaths,26,26,42,51,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Washington,100,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Carbon,18,2016,,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Bucks,223,2018,,Any Drug Overdose Deaths,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Schuylkill,58,2016,,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Clearfield,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Erie,57,2015,,Any Drug Overdose Deaths,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Clinton,12,2016,,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Lycoming,27,2018,,Any Drug Overdose Deaths,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Susquehanna,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Monroe,42,2016,,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Cambria,48,2013,,Any Drug Overdose Deaths,11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Susquehanna,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Greene,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Carbon,17,2015,,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Pennsylvania,4451,2018,,Any Drug Overdose Deaths,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Clearfield,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Fulton,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Mifflin,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,44,44,42,87,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Northampton,82,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,48,48,42,95,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
Lancaster,107,2018,,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Perry,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Lawrence,50,2017,,Any Drug Overdose Deaths,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Cameron,,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,12,12,42,23,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Bradford,10,2015,,Any Drug Overdose Deaths,8,8,42,15,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Lackawanna,106,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Perry,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Butler,60,2019,,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Lehigh,72,2013,,Any Drug Overdose Deaths,39,39,42,77,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Schuylkill,21,2013,,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Lehigh,146,2019,,Any Drug Overdose Deaths,39,39,42,77,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Bucks,243,2017,,Any Drug Overdose Deaths,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Huntingdon,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Clearfield,16,2013,,Any Drug Overdose Deaths,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Centre,10,2017,,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Bedford,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Tioga,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Cameron,0,2014,,Any Drug Overdose Deaths,12,12,42,23,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Susquehanna,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Bradford,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,8,8,42,15,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Bucks,165,2016,,Any Drug Overdose Deaths,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Warren,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Delaware,194,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Carbon,25,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Snyder,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Clinton,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Dauphin,77,2016,,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Montgomery,188,2018,,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Westmoreland,84,2013,,Any Drug Overdose Deaths,65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Sullivan,0,2017,,Any Drug Overdose Deaths,57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Dauphin,43,2013,,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Wyoming,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Northumberland,29,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Beaver,43,2018,,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Northumberland,11,2013,,Any Drug Overdose Deaths,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Luzerne,90,2015,,Any Drug Overdose Deaths,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Cumberland,49,2018,,Any Drug Overdose Deaths,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Allegheny,291,2012,,Any Drug Overdose Deaths,2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Warren,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Indiana,33,2019,,Any Drug Overdose Deaths,32,32,42,63,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Pike,14,2019,,Any Drug Overdose Deaths,52,52,42,103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Lycoming,34,2016,,Any Drug Overdose Deaths,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Blair,18,2013,,Any Drug Overdose Deaths,7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Armstrong,28,2015,,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Lancaster,113,2016,,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Cumberland,57,2016,,Any Drug Overdose Deaths,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Greene,14,2015,,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Monroe,54,2018,,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Blair,18,2012,,Any Drug Overdose Deaths,7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Monroe,39,2015,,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Venango,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Lycoming,31,2017,,Any Drug Overdose Deaths,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
