Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Number of Days Hospitalized,Number of Days Hospitalized Description,Number of Days Hospitalized Notes,Estimated Lost Wages,Estimated Lost Wages Description,Estimated Lost State Income Tax Revenue,Estimated Lost State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude,Latitude,Longitude
County,Franklin,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,199,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,26125.86,Lost wages dues to hospitalization for opioid use,802.06,Estimated state income tax revenue lost during hospitalizations due to opioid use,28,28,42,55,"(39.9278619704, -77.7239884483)",POINT (-77.7239884483 39.9278619704),39.92786197,-77.72398845
County,Somerset,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,19,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2160.57,Lost wages dues to hospitalization for opioid use,66.33,Estimated state income tax revenue lost during hospitalizations due to opioid use,56,56,42,111,"(39.9714629901, -79.0310020611)",POINT (-79.0310020611 39.9714629901),39.97146299,-79.03100206
County,Beaver,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,49,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5768.00,Lost wages dues to hospitalization for opioid use,177.08,Estimated state income tax revenue lost during hospitalizations due to opioid use,4,4,42,7,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548),40.68349246,-80.35107356
County,Juniata,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,34,34,42,67,"(40.5343300836, -77.405775001)",POINT (-77.405775001 40.5343300836),40.53433008,-77.405775
County,Montour,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,7,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1295.00,Lost wages dues to hospitalization for opioid use,39.76,Estimated state income tax revenue lost during hospitalizations due to opioid use,47,47,42,93,"(41.0280182438, -76.6647052668)",POINT (-76.6647052668 41.0280182438),41.02801824,-76.66470527
County,Lebanon,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,259,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,29526.00,Lost wages dues to hospitalization for opioid use,906.45,Estimated state income tax revenue lost during hospitalizations due to opioid use,38,38,42,75,"(40.3675970024, -76.4618257486)",POINT (-76.4618257486 40.3675970024),40.367597,-76.46182575
County,Centre,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,1,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,142.29,Lost wages dues to hospitalization for opioid use,4.37,Estimated state income tax revenue lost during hospitalizations due to opioid use,14,14,42,27,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008),40.9193135,-77.82500112
State,Commonwealth,All,21 to 34 years,2020,2020 Q1,1/1/2020-3/31/2020,4694,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,820419.14,Lost wages dues to hospitalization for opioid use,25186.87,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Wyoming,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,8,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1280.00,Lost wages dues to hospitalization for opioid use,39.30,Estimated state income tax revenue lost during hospitalizations due to opioid use,66,66,42,131,"(41.5189248803, -76.0181300338)",POINT (-76.0181300338 41.5189248803),41.51892488,-76.01813003
County,Wyoming,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,66,66,42,131,"(41.5189248803, -76.0181300338)",POINT (-76.0181300338 41.5189248803),41.51892488,-76.01813003
County,Mifflin,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,15,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1686.43,Lost wages dues to hospitalization for opioid use,51.77,Estimated state income tax revenue lost during hospitalizations due to opioid use,44,44,42,87,"(40.6127492804, -77.6200308901)",POINT (-77.6200308901 40.6127492804),40.61274928,-77.62003089
County,Adams,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,7,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,816.00,Lost wages dues to hospitalization for opioid use,25.05,Estimated state income tax revenue lost during hospitalizations due to opioid use,1,1,42,1,"(39.8720956503, -77.2222427076)",POINT (-77.2222427076 39.8720956503),39.87209565,-77.22224271
County,Schuylkill,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,560,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,60868.00,Lost wages dues to hospitalization for opioid use,1868.65,Estimated state income tax revenue lost during hospitalizations due to opioid use,54,54,42,107,"(40.707512431, -76.223323851)",POINT (-76.223323851 40.707512431),40.70751243,-76.22332385
County,Indiana,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,79,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,10394.14,Lost wages dues to hospitalization for opioid use,319.10,Estimated state income tax revenue lost during hospitalizations due to opioid use,32,32,42,63,"(40.6529549748, -79.0933349286)",POINT (-79.0933349286 40.6529549748),40.65295498,-79.09333493
County,Butler,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,119,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,18275.00,Lost wages dues to hospitalization for opioid use,561.04,Estimated state income tax revenue lost during hospitalizations due to opioid use,10,10,42,19,"(40.9108318483, -79.9171177889)",POINT (-79.9171177889 40.9108318483),40.91083185,-79.91711779
County,Butler,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,185,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,30789.29,Lost wages dues to hospitalization for opioid use,945.23,Estimated state income tax revenue lost during hospitalizations due to opioid use,10,10,42,19,"(40.9108318483, -79.9171177889)",POINT (-79.9171177889 40.9108318483),40.91083185,-79.91711779
County,Warren,All,All (21 to 64 years),2020,2020 Annual,1/1/2020-12/31/2020,34,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4136.00,Lost wages dues to hospitalization for opioid use,126.98,Estimated state income tax revenue lost during hospitalizations due to opioid use,62,62,42,123,"(41.8167523652, -79.278581578)",POINT (-79.278581578 41.8167523652),41.81675237,-79.27858158
County,Armstrong,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,84,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9744.00,Lost wages dues to hospitalization for opioid use,299.14,Estimated state income tax revenue lost during hospitalizations due to opioid use,3,3,42,5,"(40.8150952555, -79.4731689893)",POINT (-79.4731689893 40.8150952555),40.81509526,-79.47316899
County,Northampton,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,259,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,32893.00,Lost wages dues to hospitalization for opioid use,1009.82,Estimated state income tax revenue lost during hospitalizations due to opioid use,48,48,42,95,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404),40.7545954,-75.31263726
County,Crawford,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,84,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8940.00,Lost wages dues to hospitalization for opioid use,274.46,Estimated state income tax revenue lost during hospitalizations due to opioid use,20,20,42,39,"(41.6854690692, -80.1132108295)",POINT (-80.1132108295 41.6854690692),41.68546907,-80.11321083
County,Lehigh,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,192,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,30994.29,Lost wages dues to hospitalization for opioid use,951.52,Estimated state income tax revenue lost during hospitalizations due to opioid use,39,39,42,77,"(40.6146479416, -75.6009948118)",POINT (-75.6009948118 40.6146479416),40.61464794,-75.60099481
County,Clarion,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,83,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8436.14,Lost wages dues to hospitalization for opioid use,258.99,Estimated state income tax revenue lost during hospitalizations due to opioid use,16,16,42,31,"(41.1927912877, -79.4248360769)",POINT (-79.4248360769 41.1927912877),41.19279129,-79.42483608
State,Commonwealth,All,35 to 49 years,2018,2018 Q1,1/1/2018-3/31/2018,5038,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,853567.14,Lost wages dues to hospitalization for opioid use,26204.51,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Potter,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,8,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,921.00,Lost wages dues to hospitalization for opioid use,28.27,Estimated state income tax revenue lost during hospitalizations due to opioid use,53,53,42,105,"(41.7442064382, -77.8987922939)",POINT (-77.8987922939 41.7442064382),41.74420644,-77.89879229
County,Berks,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,449,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,60294.29,Lost wages dues to hospitalization for opioid use,1851.03,Estimated state income tax revenue lost during hospitalizations due to opioid use,6,6,42,11,"(40.4193963513, -75.9307732705)",POINT (-75.9307732705 40.4193963513),40.41939635,-75.93077327
County,Armstrong,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,35,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3785.00,Lost wages dues to hospitalization for opioid use,116.20,Estimated state income tax revenue lost during hospitalizations due to opioid use,3,3,42,5,"(40.8150952555, -79.4731689893)",POINT (-79.4731689893 40.8150952555),40.81509526,-79.47316899
County,Lycoming,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,44,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5261.14,Lost wages dues to hospitalization for opioid use,161.52,Estimated state income tax revenue lost during hospitalizations due to opioid use,41,41,42,81,"(41.3445979226, -77.069424568)",POINT (-77.069424568 41.3445979226),41.34459792,-77.06942457
County,Somerset,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,1,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,98.57,Lost wages dues to hospitalization for opioid use,3.03,Estimated state income tax revenue lost during hospitalizations due to opioid use,56,56,42,111,"(39.9714629901, -79.0310020611)",POINT (-79.0310020611 39.9714629901),39.97146299,-79.03100206
County,Lawrence,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,160,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,18187.57,Lost wages dues to hospitalization for opioid use,558.36,Estimated state income tax revenue lost during hospitalizations due to opioid use,37,37,42,73,"(40.9932503514, -80.3375411446)",POINT (-80.3375411446 40.9932503514),40.99325035,-80.33754114
County,Forest,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,27,27,42,53,"(41.5135787577, -79.2378099483)",POINT (-79.2378099483 41.5135787577),41.51357876,-79.23780995
County,Forest,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,6,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,737.14,Lost wages dues to hospitalization for opioid use,22.63,Estimated state income tax revenue lost during hospitalizations due to opioid use,27,27,42,53,"(41.5135787577, -79.2378099483)",POINT (-79.2378099483 41.5135787577),41.51357876,-79.23780995
County,Fayette,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,66,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7194.00,Lost wages dues to hospitalization for opioid use,220.86,Estimated state income tax revenue lost during hospitalizations due to opioid use,26,26,42,51,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803),39.9194478,-79.65189635
County,Lehigh,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,162,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,24786.00,Lost wages dues to hospitalization for opioid use,760.93,Estimated state income tax revenue lost during hospitalizations due to opioid use,39,39,42,77,"(40.6146479416, -75.6009948118)",POINT (-75.6009948118 40.6146479416),40.61464794,-75.60099481
County,Philadelphia,All,All (21 to 64 years),2020,2020 Annual,1/1/2020-12/31/2020,14056,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2868363.29,Lost wages dues to hospitalization for opioid use,88058.75,Estimated state income tax revenue lost during hospitalizations due to opioid use,51,51,42,101,"(40.0044435384, -75.140236002)",POINT (-75.140236002 40.0044435384),40.00444354,-75.140236
County,Lycoming,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,43,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4717.71,Lost wages dues to hospitalization for opioid use,144.83,Estimated state income tax revenue lost during hospitalizations due to opioid use,41,41,42,81,"(41.3445979226, -77.069424568)",POINT (-77.069424568 41.3445979226),41.34459792,-77.06942457
County,Clinton,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,7,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,800.00,Lost wages dues to hospitalization for opioid use,24.56,Estimated state income tax revenue lost during hospitalizations due to opioid use,18,18,42,35,"(41.2328627374, -77.6428376046)",POINT (-77.6428376046 41.2328627374),41.23286274,-77.6428376
State,Commonwealth,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,57115,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8363675.14,Lost wages dues to hospitalization for opioid use,256764.83,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Snyder,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,55,55,42,109,"(40.7711373692, -77.0725596804)",POINT (-77.0725596804 40.7711373692),40.77113737,-77.07255968
County,Clinton,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,19,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2277.29,Lost wages dues to hospitalization for opioid use,69.91,Estimated state income tax revenue lost during hospitalizations due to opioid use,18,18,42,35,"(41.2328627374, -77.6428376046)",POINT (-77.6428376046 41.2328627374),41.23286274,-77.6428376
County,Wayne,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,80,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8452.00,Lost wages dues to hospitalization for opioid use,259.48,Estimated state income tax revenue lost during hospitalizations due to opioid use,64,64,42,127,"(41.6496980525, -75.3051535022)",POINT (-75.3051535022 41.6496980525),41.64969805,-75.3051535
County,Lycoming,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,29,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3364.00,Lost wages dues to hospitalization for opioid use,103.27,Estimated state income tax revenue lost during hospitalizations due to opioid use,41,41,42,81,"(41.3445979226, -77.069424568)",POINT (-77.069424568 41.3445979226),41.34459792,-77.06942457
County,Venango,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,81,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,10240.71,Lost wages dues to hospitalization for opioid use,314.39,Estimated state income tax revenue lost during hospitalizations due to opioid use,61,61,42,121,"(41.4034125863, -79.7628656104)",POINT (-79.7628656104 41.4034125863),41.40341259,-79.76286561
County,Blair,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,63,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7335.00,Lost wages dues to hospitalization for opioid use,225.18,Estimated state income tax revenue lost during hospitalizations due to opioid use,7,7,42,13,"(40.4855502384, -78.349076871)",POINT (-78.349076871 40.4855502384),40.48555024,-78.34907687
State,Commonwealth,All,35 to 49 years,2020,2020 Annual,1/1/2020-12/31/2020,19257,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3440756.14,Lost wages dues to hospitalization for opioid use,105631.21,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Union,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,8,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1021.71,Lost wages dues to hospitalization for opioid use,31.37,Estimated state income tax revenue lost during hospitalizations due to opioid use,60,60,42,119,"(40.9647313096, -77.0641580308)",POINT (-77.0641580308 40.9647313096),40.96473131,-77.06415803
County,Westmoreland,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,210,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,27900.00,Lost wages dues to hospitalization for opioid use,856.53,Estimated state income tax revenue lost during hospitalizations due to opioid use,65,65,42,129,"(40.3103149985, -79.471341176)",POINT (-79.471341176 40.3103149985),40.310315,-79.47134118
County,Potter,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,53,53,42,105,"(41.7442064382, -77.8987922939)",POINT (-77.8987922939 41.7442064382),41.74420644,-77.89879229
County,Washington,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,97,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,15339.86,Lost wages dues to hospitalization for opioid use,470.93,Estimated state income tax revenue lost during hospitalizations due to opioid use,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345),40.19109664,-80.25180083
County,Wayne,All,All (21 to 64 years),2020,2020 Annual,1/1/2020-12/31/2020,11,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1360.57,Lost wages dues to hospitalization for opioid use,41.77,Estimated state income tax revenue lost during hospitalizations due to opioid use,64,64,42,127,"(41.6496980525, -75.3051535022)",POINT (-75.3051535022 41.6496980525),41.64969805,-75.3051535
County,Erie,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,287,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,33210.00,Lost wages dues to hospitalization for opioid use,1019.55,Estimated state income tax revenue lost during hospitalizations due to opioid use,25,25,42,49,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702),41.99413787,-80.0407591
State,Commonwealth,Male,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,9153,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1563901.57,Lost wages dues to hospitalization for opioid use,48011.78,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Union,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,11,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1505.43,Lost wages dues to hospitalization for opioid use,46.22,Estimated state income tax revenue lost during hospitalizations due to opioid use,60,60,42,119,"(40.9647313096, -77.0641580308)",POINT (-77.0641580308 40.9647313096),40.96473131,-77.06415803
State,Commonwealth,Female,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,5716,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,916349.86,Lost wages dues to hospitalization for opioid use,28131.94,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Schuylkill,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,141,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,16476.86,Lost wages dues to hospitalization for opioid use,505.84,Estimated state income tax revenue lost during hospitalizations due to opioid use,54,54,42,107,"(40.707512431, -76.223323851)",POINT (-76.223323851 40.707512431),40.70751243,-76.22332385
County,Mifflin,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,62,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5969.71,Lost wages dues to hospitalization for opioid use,183.27,Estimated state income tax revenue lost during hospitalizations due to opioid use,44,44,42,87,"(40.6127492804, -77.6200308901)",POINT (-77.6200308901 40.6127492804),40.61274928,-77.62003089
State,Commonwealth,All,35 to 49 years,2019,2019 Q1,1/1/2019-3/31/2019,5126,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,888017.14,Lost wages dues to hospitalization for opioid use,27262.13,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Indiana,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,105,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,12743.29,Lost wages dues to hospitalization for opioid use,391.22,Estimated state income tax revenue lost during hospitalizations due to opioid use,32,32,42,63,"(40.6529549748, -79.0933349286)",POINT (-79.0933349286 40.6529549748),40.65295498,-79.09333493
County,Juniata,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,4,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,412.00,Lost wages dues to hospitalization for opioid use,12.65,Estimated state income tax revenue lost during hospitalizations due to opioid use,34,34,42,67,"(40.5343300836, -77.405775001)",POINT (-77.405775001 40.5343300836),40.53433008,-77.405775
County,Elk,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,13,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1478.29,Lost wages dues to hospitalization for opioid use,45.38,Estimated state income tax revenue lost during hospitalizations due to opioid use,24,24,42,47,"(41.4281941606, -78.6494771322)",POINT (-78.6494771322 41.4281941606),41.42819416,-78.64947713
County,Armstrong,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,8,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,921.14,Lost wages dues to hospitalization for opioid use,28.28,Estimated state income tax revenue lost during hospitalizations due to opioid use,3,3,42,5,"(40.8150952555, -79.4731689893)",POINT (-79.4731689893 40.8150952555),40.81509526,-79.47316899
County,Chester,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,313,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,60319.57,Lost wages dues to hospitalization for opioid use,1851.81,Estimated state income tax revenue lost during hospitalizations due to opioid use,15,15,42,29,"(39.9748705566, -75.7562649818)",POINT (-75.7562649818 39.9748705566),39.97487056,-75.75626498
